n_trial,n_valid,false_starts,lapses,lapse_rate,mean_rt,median_rt,sd_rt,mean_speed,slowest10_rt,sub,ses_num
9,9,0,0,0.0,248.33333333333334,229.0,68.98369372540151,4.250478187108759,343.8,sub-9001,1
9,9,0,0,0.0,205.22222222222223,202.0,20.240910168380385,4.909973984151398,218.8,sub-9001,2
7,7,0,0,0.0,248.85714285714286,234.0,33.642376904872876,4.0791333875536635,285.8,sub-9002,1
11,11,0,0,0.0,241.9090909090909,257.0,30.464584505469777,4.197198942004508,274.0,sub-9002,2
11,11,0,0,0.0,221.9090909090909,219.0,21.068718733964555,4.542560195530512,251.0,sub-9003,1
8,8,0,0,0.0,238.375,215.0,42.724825503279874,4.307666738804341,294.3,sub-9003,2
9,9,0,0,0.0,256.3333333333333,232.0,50.28170641495772,4.027531427476511,330.8,sub-9004,1
10,8,2,0,0.0,213.625,215.0,17.783921309510372,4.709806604225937,232.7,sub-9004,2
8,8,0,0,0.0,234.375,234.0,25.72901363941383,4.309586549711059,259.1,sub-9005,1
9,9,0,0,0.0,262.77777777777777,247.0,32.010848855418445,3.8516005966049582,314.4,sub-9005,2
11,11,0,0,0.0,257.1818181818182,250.0,33.76334752899417,3.9443337261692064,290.0,sub-9007,1
10,10,0,0,0.0,253.7,225.0,72.88354485829508,4.158490140420884,330.59999999999997,sub-9007,2
11,10,1,0,0.0,253.9,259.5,44.52577281131058,4.0415081819569885,292.2,sub-9008,1
9,9,0,0,0.0,290.55555555555554,268.0,69.47861381589142,3.5910316369107207,357.0,sub-9008,2
8,8,0,0,0.0,243.375,239.5,34.01234019755603,4.179565985164643,286.0,sub-9009,1
12,12,0,0,0.0,269.25,244.0,65.83329497505595,3.892040138562049,373.1,sub-9009,2
9,9,0,0,0.0,272.6666666666667,277.0,28.451713480913586,3.7090183684878713,294.0,sub-9011,1
8,7,1,0,0.0,279.85714285714283,279.0,16.087558043703336,3.583317178812289,297.2,sub-9011,2
8,8,0,0,0.0,220.375,218.0,22.449546606939368,4.580396951581843,247.4,sub-9012,1
10,10,0,0,0.0,317.8,310.5,47.83490125188697,3.2082740155139398,380.5,sub-9012,2
10,10,0,0,0.0,236.8,209.5,61.42891103634437,4.4240579157891435,333.9,sub-9013,1
11,10,1,0,0.0,223.0,215.0,28.686039965266886,4.54622097010075,262.7,sub-9013,2
9,9,0,0,0.0,222.55555555555554,216.0,51.007624702369526,4.671343854843572,261.40000000000003,sub-9014,1
12,12,0,0,0.0,223.16666666666666,211.0,45.22636667281866,4.607229719932744,241.1,sub-9014,2
11,11,0,0,0.0,212.45454545454547,209.0,31.91665282063154,4.794530968834689,239.0,sub-9016,1
10,10,0,0,0.0,217.6,211.0,33.49693186613431,4.69223000758289,252.79999999999998,sub-9016,2
10,10,0,0,0.0,256.5,243.0,42.716767459888885,3.9717056681881346,274.09999999999997,sub-9017,1
9,9,0,0,0.0,241.55555555555554,240.0,26.52409805776207,4.1866529040679366,269.6,sub-9017,2
11,11,0,0,0.0,268.3636363636364,261.0,64.91112805563115,3.927457834685148,363.0,sub-9018,1
11,11,0,0,0.0,291.3636363636364,285.0,40.87608769751021,3.490738215202559,330.0,sub-9018,2
10,10,0,0,0.0,271.9,237.5,82.52063714947647,3.8890323989225877,311.0999999999999,sub-9019,1
10,10,0,0,0.0,293.1,295.0,38.30419182166766,3.4629776342935963,341.59999999999997,sub-9019,2
10,10,0,0,0.0,347.6,331.0,38.704579114678985,2.905930366506726,385.59999999999997,sub-9020,1
9,9,0,0,0.0,292.22222222222223,261.0,60.25109496469292,3.537425647995172,383.8,sub-9020,2
9,9,0,0,0.0,203.55555555555554,215.0,26.282651650428612,4.9865981821522105,226.0,sub-9022,1
11,9,1,1,0.09090909090909091,217.77777777777777,212.0,32.13167353942904,4.677311295854593,262.2,sub-9022,2
10,10,0,0,0.0,234.7,214.0,57.66772638718009,4.437378163913927,304.79999999999995,sub-9023,1
10,10,0,0,0.0,234.8,231.5,22.3696222587687,4.293917289784055,266.0,sub-9023,2
11,10,0,1,0.09090909090909091,270.9,268.5,48.981742630403744,3.7836919540680976,297.4,sub-9025,1
11,11,0,0,0.0,243.27272727272728,231.0,50.63416022625617,4.246306589413875,285.0,sub-9025,2
12,12,0,0,0.0,235.83333333333334,221.5,46.34815546655029,4.355969223071322,289.90000000000003,sub-9026,1
9,7,0,2,0.2222222222222222,218.85714285714286,230.0,27.168784609232286,4.635679876670049,245.0,sub-9026,2
10,10,0,0,0.0,205.8,203.0,34.224098072686864,4.971113542737587,228.39999999999998,sub-9028,1
9,9,0,0,0.0,303.22222222222223,260.0,88.2833191743743,3.5261703871948766,421.0,sub-9028,2
9,9,0,0,0.0,313.77777777777777,309.0,51.41200681207109,3.2576231083742013,374.40000000000003,sub-9029,1
10,10,0,0,0.0,276.8,263.5,43.51193961304057,3.6871816383813742,332.0,sub-9029,2
10,10,0,0,0.0,273.3,266.0,29.48087892553786,3.6954246808590625,320.4,sub-9032,1
9,9,0,0,0.0,263.0,249.0,46.24391851908746,3.8959385966062348,317.40000000000003,sub-9032,2
10,9,0,1,0.1,212.88888888888889,209.0,29.229456223322238,4.771234497619775,239.4,sub-9033,1
12,11,1,0,0.0,220.0,201.0,50.714889332423866,4.703748610007403,252.0,sub-9033,2
9,9,0,0,0.0,228.11111111111111,238.0,16.944353369518446,4.406211970634822,243.0,sub-9034,1
8,8,0,0,0.0,219.75,215.5,33.337023605252206,4.635513326853763,254.1,sub-9034,2
13,12,0,1,0.07692307692307693,264.0,249.5,61.52752525200704,3.963510056331145,338.1,sub-9035,1
10,10,0,0,0.0,229.6,221.0,35.66261659247989,4.439387060580064,263.5,sub-9035,2
