n_trial,n_valid,false_starts,lapses,lapse_rate,mean_rt,median_rt,sd_rt,mean_speed,slowest10_rt,sub,ses_num
14,14,0,0,0.0,236.07142857142858,221.0,57.70943701752012,4.412453678029559,303.4000000000001,sub-9001,1
13,13,0,0,0.0,206.3846153846154,204.0,18.034866516179438,4.876360633365268,223.4,sub-9001,2
13,13,0,0,0.0,254.6153846153846,252.0,34.82465233504005,3.9893098852341677,298.6,sub-9002,1
16,16,0,0,0.0,244.8125,250.0,29.04299973028498,4.140899577582696,276.0,sub-9002,2
16,16,0,0,0.0,220.125,217.5,18.800265955565628,4.572846985530357,245.0,sub-9003,1
12,12,0,0,0.0,250.83333333333334,219.5,58.94964466441343,4.16184134515854,300.9,sub-9003,2
15,13,1,1,0.06666666666666667,249.69230769230768,232.0,48.3035275029761,4.134268517589968,324.0,sub-9004,1
15,13,2,0,0.0,225.6153846153846,222.0,36.27565405231278,4.518033867638789,246.20000000000002,sub-9004,2
14,14,0,0,0.0,244.21428571428572,228.5,51.98694891165337,4.235598180569702,316.50000000000006,sub-9005,1
16,16,0,0,0.0,264.0625,245.5,57.30557709915036,3.9133946326131364,315.0,sub-9005,2
16,16,0,0,0.0,255.375,251.5,28.161143442694225,3.9563050800794946,290.0,sub-9007,1
15,15,0,0,0.0,256.46666666666664,235.0,60.35237794660227,4.055700737298335,311.0,sub-9007,2
16,15,1,0,0.0,253.2,254.0,49.237326143021676,4.080340524807742,323.0,sub-9008,1
14,14,0,0,0.0,274.2857142857143,263.0,62.51944752380109,3.7949194475813903,330.20000000000005,sub-9008,2
12,12,0,0,0.0,265.0,256.5,64.80600421116999,3.9298179883938573,292.0,sub-9009,1
16,16,0,0,0.0,268.1875,247.5,64.42692889364405,3.9068301993040264,370.0,sub-9009,2
14,14,0,0,0.0,277.7857142857143,283.0,25.271384155658296,3.63233385549589,304.3,sub-9011,1
13,12,1,0,0.0,289.8333333333333,281.5,43.15265362815496,3.503436761195592,303.7,sub-9011,2
11,11,0,0,0.0,224.45454545454547,222.0,21.965261830279356,4.4959675322746255,252.0,sub-9012,1
17,16,0,1,0.058823529411764705,311.5,310.5,44.39219150556398,3.2693267106174213,360.0,sub-9012,2
14,14,0,0,0.0,236.14285714285714,219.0,52.479823438459356,4.389757873715403,306.6000000000001,sub-9013,1
15,14,1,0,0.0,220.78571428571428,217.0,26.009402357397818,4.584042660413672,255.9,sub-9013,2
13,13,0,0,0.0,212.53846153846155,199.0,46.19815181118429,4.872691859917589,241.2,sub-9014,1
17,17,0,0,0.0,219.7058823529412,209.0,40.99811688645338,4.667440556932321,245.6,sub-9014,2
15,15,0,0,0.0,214.33333333333334,209.0,28.97207193800527,4.739915220796416,240.2,sub-9016,1
14,14,0,0,0.0,212.64285714285714,204.0,29.96820659621471,4.7847139282542015,247.0,sub-9016,2
14,14,0,0,0.0,251.07142857142858,243.5,39.59888165809016,4.057530719727264,264.4,sub-9017,1
14,14,0,0,0.0,245.71428571428572,243.5,24.170638804545074,4.108083553856043,276.1,sub-9017,2
16,16,0,0,0.0,279.25,268.0,63.111013301958636,3.760586991913441,366.5,sub-9018,1
15,15,0,0,0.0,275.6666666666667,279.0,46.624130274027884,3.724463043787123,322.8,sub-9018,2
15,15,0,0,0.0,288.6666666666667,282.0,74.36845209271648,3.6435184304892134,364.8,sub-9019,1
14,14,0,0,0.0,293.35714285714283,295.0,37.55735540549874,3.4595394012309124,343.90000000000003,sub-9019,2
