n_trial,n_valid,false_starts,lapses,lapse_rate,mean_rt,median_rt,sd_rt,mean_speed,slowest10_rt,sub,ses_num
28,28,0,0,0.0,232.71428571428572,215.5,57.297700259490824,4.477178564097627,298.8,sub-9001,1
25,25,0,0,0.0,210.56,208.0,31.836928243786332,4.838844244472514,242.0,sub-9001,2
29,29,0,0,0.0,261.62068965517244,254.0,36.75732559941861,3.8869097506884778,308.8,sub-9002,1
32,32,0,0,0.0,240.78125,246.5,26.228197550998306,4.202018577492254,273.3,sub-9002,2
31,31,0,0,0.0,254.48387096774192,232.0,62.88713221199915,4.102425402759668,297.0,sub-9003,1
26,26,0,0,0.0,269.2307692307692,275.5,50.090564135220276,3.8398699531305107,322.5,sub-9003,2
31,29,1,1,0.03225806451612903,247.68965517241378,231.0,60.13205910344085,4.197761256820268,306.0,sub-9004,1
29,27,2,0,0.0,227.07407407407408,224.0,29.545175222316402,4.466172859993514,253.60000000000002,sub-9004,2
28,28,0,0,0.0,257.82142857142856,238.0,54.27642116223116,4.027722676306159,341.8,sub-9005,1
30,30,0,0,0.0,265.4,245.5,57.52516690620034,3.8930799139895957,314.2,sub-9005,2
30,30,0,0,0.0,247.93333333333334,239.0,31.281737906273392,4.0892845540500575,290.0,sub-9007,1
30,30,0,0,0.0,249.96666666666667,233.5,48.31397551314793,4.11410273355537,301.0,sub-9007,2
32,31,1,0,0.0,252.0,249.0,42.01031619336692,4.069839558092641,299.0,sub-9008,1
28,28,0,0,0.0,252.92857142857142,241.5,55.60770568200896,4.106593837455107,323.8,sub-9008,2
25,25,0,0,0.0,259.96,255.0,51.77956482371528,3.964139360837921,301.40000000000003,sub-9009,1
31,31,0,0,0.0,276.9032258064516,260.0,66.65600990093826,3.7853795862944333,376.0,sub-9009,2
30,30,0,0,0.0,260.03333333333336,262.0,29.70717239917025,3.8946804219016804,292.90000000000003,sub-9011,1
28,27,1,0,0.0,275.22222222222223,271.0,42.00671496992002,3.7037410708160565,305.0,sub-9011,2
27,27,0,0,0.0,257.18518518518516,253.0,39.17813070994998,3.9731375380715064,294.20000000000005,sub-9012,1
29,28,0,1,0.034482758620689655,312.7142857142857,310.5,44.72703809227632,3.259125158441779,366.5,sub-9012,2
