n_trial,n_valid,false_starts,lapses,lapse_rate,mean_rt,median_rt,sd_rt,mean_speed,slowest10_rt,sub,ses_num
46,46,0,0,0.0,250.08695652173913,230.0,61.522832649334894,4.191255180166818,331.5,sub-9001,1
44,43,0,1,0.022727272727272728,232.58139534883722,218.0,62.305022559195685,4.512735943146381,300.2000000000001,sub-9001,2
44,44,0,0,0.0,258.5681818181818,253.5,32.72179966568957,3.9217222448382687,293.4,sub-9002,1
48,48,0,0,0.0,245.16666666666666,242.5,35.5691315689233,4.149236204220031,275.90000000000003,sub-9002,2
46,46,0,0,0.0,269.69565217391306,252.5,72.61247813341951,3.915233785968901,373.0,sub-9003,1
46,45,0,1,0.021739130434782608,269.26666666666665,270.0,47.60462162437592,3.8293501336149385,321.2,sub-9003,2
50,48,1,1,0.02,242.9375,232.0,48.958256752618546,4.230628902221506,282.20000000000005,sub-9004,1
45,43,2,0,0.0,231.4418604651163,224.0,30.38663735574554,4.386756804734111,264.40000000000003,sub-9004,2
47,43,2,2,0.0425531914893617,258.86046511627904,238.0,55.00458049989103,4.007429004786334,344.8,sub-9005,1
49,49,0,0,0.0,256.9387755102041,244.0,50.40726144914759,4.001493515761952,304.40000000000003,sub-9005,2
44,44,0,0,0.0,247.1818181818182,239.0,35.39364857439868,4.116913039539447,289.1,sub-9007,1
46,46,0,0,0.0,252.41304347826087,247.0,41.66777389833193,4.0489040131457275,294.5,sub-9007,2
51,50,1,0,0.0,265.8,249.0,64.11437484078348,3.939440086883861,348.2,sub-9008,1
46,44,2,0,0.0,256.95454545454544,248.0,54.22517845852009,4.045012753260185,329.5,sub-9008,2
42,42,0,0,0.0,272.76190476190476,256.5,64.93779745068974,3.8277018403990763,335.8,sub-9009,1
47,47,0,0,0.0,276.0,265.0,58.94470511309362,3.7632069388905265,368.0,sub-9009,2
47,47,0,0,0.0,255.5531914893617,254.0,29.443245708546453,3.963872986846979,290.4,sub-9011,1
43,42,1,0,0.0,269.2142857142857,265.0,36.64099777257757,3.771880904392984,296.8,sub-9011,2
43,43,0,0,0.0,264.5581395348837,266.0,37.79600780479423,3.8561216603800643,314.40000000000003,sub-9012,1
47,46,0,1,0.02127659574468085,315.32608695652175,311.0,41.607186530868596,3.224756387184028,367.0,sub-9012,2
42,42,0,0,0.0,238.61904761904762,225.0,45.47095153190869,4.307349744443157,296.79999999999995,sub-9013,1
47,46,1,0,0.0,249.15217391304347,229.0,56.16284552434381,4.178985546794244,342.0,sub-9013,2
44,44,0,0,0.0,214.0909090909091,200.5,38.763935637794546,4.803774264350946,260.0,sub-9014,1
